1706888421880;0;-49
1706888422889;0;-56
1706888423891;0;-44
1706888424893;0;-63
1706888425895;0;-45
1706888426896;0;-45
1706888427899;0;-45
1706888428900;0;-65
1706888429909;0;-47
1706888430910;0;-59
1706888438045;2;-59
1706888439049;2;-59
1706888440053;2;-68
1706888441058;2;-64
1706888442066;2;-59
1706888443071;2;-61
1706888444075;2;-60
1706888445079;2;-61
1706888446083;2;-60
1706888447086;2;-59
1706888455048;4;-79
1706888456052;4;-70
1706888457056;4;-73
1706888458060;4;-77
1706888459063;4;-71
1706888460076;4;-69
1706888461079;4;-69
1706888462083;4;-87
1706888463096;4;-68
1706888464099;4;-82
1706888474056;6;-76
1706888475059;6;-75
1706888476062;6;-76
1706888477066;6;-76
1706888478069;6;-77
1706888479072;6;-76
1706888480076;6;-75
1706888481081;6;-87
1706888482084;6;-80
1706888483088;6;-77
1706888490615;8;-76
1706888491619;8;-74
1706888492622;8;-68
1706888493624;8;-75
1706888494628;8;-89
1706888495630;8;-72
1706888496633;8;-76
1706888497637;8;-75
1706888498640;8;-77
1706888499643;8;-71
1706888507601;10;-91
1706888508605;10;-76
1706888509609;10;-78
1706888510612;10;-77
1706888511617;10;-81
1706888512622;10;-85
1706888513625;10;-73
1706888514629;10;-92
1706888515633;10;-89
1706888516636;10;-82
1706888524101;12;-78
1706888525104;12;-76
1706888526108;12;-78
1706888527111;12;-79
1706888528114;12;-78
1706888529117;12;-81
1706888530120;12;-77
1706888531123;12;-79
1706888532126;12;-81
1706888533129;12;-78
1706888541486;14;-72
1706888542489;14;-77
1706888543492;14;-70
1706888544496;14;-71
1706888545500;14;-76
1706888546503;14;-78
1706888547506;14;-75
1706888548511;14;-74
1706888549514;14;-81
1706888550517;14;-77
1706888557892;16;-77
1706888558896;16;-77
1706888559902;16;-79
1706888560905;16;-80
1706888561909;16;-74
1706888562911;16;-76
1706888563914;16;-74
1706888564918;16;-85
1706888565921;16;-73
1706888566924;16;-73
1706888574988;18;-77
1706888575989;18;-73
1706888576990;18;-75
1706888577991;18;-80
1706888578992;18;-79
1706888579993;18;-76
1706888580994;18;-79
1706888581995;18;-78
1706888582996;18;-79
1706888583997;18;-80
1706888590859;20;-77
1706888591860;20;-80
1706888592861;20;-78
1706888593862;20;-79
1706888594863;20;-79
1706888595863;20;-83
1706888596864;20;-84
1706888597866;20;-85
1706888598867;20;-81
1706888599868;20;-81
1706888625897;25;-78
1706888626898;25;-74
1706888627899;25;-84
1706888628901;25;-89
1706888629902;25;-88
1706888630903;25;-78
1706888631904;25;-79
1706888632905;25;-77
1706888633905;25;-80
1706888634906;25;-78
1706888635907;25;-80
1706888636909;25;-80
1706888637910;25;-74
1706888638911;25;-75
1706888639912;25;-80
1706888653392;30;-85
1706888654393;30;-89
1706888655394;30;-85
1706888656395;30;-79
1706888657395;30;-90
1706888658395;30;-84
1706888659396;30;-87
1706888660397;30;-82
1706888661398;30;-89
1706888662398;30;-89
1706888663399;30;-91
1706888664400;30;-89
1706888665403;30;-86
1706888666406;30;-89
1706888667410;30;-80
1706888677479;35;-87
1706888678483;35;-89
1706888679488;35;-90
1706888680504;35;-80
1706888681508;35;-82
1706888682512;35;-84
1706888683515;35;-84
1706888684519;35;-93
1706888685522;35;-82
1706888686525;35;-82
1706888687528;35;-82
1706888688531;35;-78
1706888689533;35;-92
1706888690536;35;-80
1706888691539;35;-81
1706888704940;40;-86
1706888705944;40;-86
1706888706947;40;-86
1706888707948;40;-85
1706888708951;40;-86
1706888709953;40;-86
1706888710955;40;-87
1706888711959;40;-86
1706888712962;40;-86
1706888713965;40;-88
1706888714968;40;-80
1706888715971;40;-84
1706888716975;40;-82
1706888717978;40;-83
1706888718981;40;-84
1706888733531;45;-83
1706888734534;45;-93
1706888735547;45;-89
1706888736550;45;-92
1706888737553;45;-79
1706888738556;45;-91
1706888739560;45;-89
1706888740563;45;-81
1706888741567;45;-80
1706888742572;45;-92
1706888743576;45;-92
1706888744579;45;-92
1706888745582;45;-81
1706888746586;45;-91
1706888747589;45;-85
1706888763865;50;-78
1706888764868;50;-90
1706888765871;50;-81
1706888766874;50;-81
1706888767878;50;-81
1706888768882;50;-81
1706888769889;50;-93
1706888770901;50;-77
1706888771905;50;-77
1706888772908;50;-77
1706888773911;50;-82
1706888774914;50;-88
1706888775918;50;-81
1706888776921;50;-81
1706888777925;50;-81
1706888792005;60;-86
1706888793007;60;-92
1706888794018;60;-88
1706888795020;60;-86
1706888796023;60;-79
1706888797025;60;-81
1706888798030;60;-74
1706888799033;60;-73
1706888800036;60;-74
1706888801038;60;-72
1706888802042;60;-76
1706888803043;60;-77
1706888804046;60;-75
1706888805048;60;-73
1706888806051;60;-73
1706888821562;70;-89
1706888822564;70;-85
1706888823567;70;-83
1706888824569;70;-83
1706888825573;70;-83
1706888826575;70;-82
1706888827581;70;-76
1706888828583;70;-84
1706888829586;70;-83
1706888830590;70;-83
1706888831595;70;-83
1706888832597;70;-75
1706888833600;70;-85
1706888834604;70;-85
1706888835607;70;-86
1706888862676;80;-87
1706888863678;80;-83
1706888864680;80;-87
1706888865682;80;-88
1706888866685;80;-86
1706888867687;80;-79
1706888868691;80;-84
1706888869693;80;-83
1706888870699;80;-84
1706888871701;80;-84
1706888872704;80;-84
1706888873708;80;-91
1706888874712;80;-87
1706888875715;80;-89
1706888876717;80;-88
1706888889274;90;-80
1706888890293;90;-82
1706888891296;90;-87
1706888892309;90;-89
1706888893312;90;-95
1706888894313;90;-88
1706888895315;90;-88
1706888896319;90;-79
1706888897323;90;-78
1706888898325;90;-88
1706888899327;90;-89
1706888900330;90;-89
1706888901333;90;-87
1706888902336;90;-85
1706888903338;90;-88
1706888916607;100;-91
1706888917611;100;-92
1706888918614;100;-90
1706888919616;100;-91
1706888920620;100;-91
1706888921621;100;-93
1706888922624;100;-97
1706888923627;100;-96
1706888924629;100;-96
1706888925632;100;-84
1706888926635;100;-84
1706888927637;100;-84
1706888928640;100;-96
1706888929641;100;-83
1706888930644;100;-85
