time;realDistance;rssi;espId
1707224577530;0;-49;1
1707224578572;0;-47;1
1707224579585;0;-53;1
1707224580608;0;-54;1
1707224581626;0;-50;1
1707224582638;0;-51;1
1707224583646;0;-51;1
1707224584654;0;-57;1
1707224585668;0;-53;1
1707224586686;0;-53;1
1707224587703;0;-51;1
1707224588715;0;-52;1
1707224589745;0;-49;1
1707224590754;0;-50;1
1707224591770;0;-54;1
1707224592790;0;-54;1
1707224593822;0;-52;1
1707224594839;0;-51;1
1707224595864;0;-53;1
1707224596879;0;-52;1
1707224597894;0;-52;1
1707224598914;0;-51;1
1707224599925;0;-50;1
1707224600946;0;-50;1
1707224601959;0;-52;1
1707224602974;0;-50;1
1707224603998;0;-50;1
1707224605014;0;-52;1
1707224606030;0;-49;1
1707224607048;0;-50;1
1707224619070;2;-65;1
1707224620100;2;-61;1
1707224621117;2;-61;1
1707224622146;2;-72;1
1707224623163;2;-69;1
1707224624179;2;-63;1
1707224625198;2;-66;1
1707224626221;2;-62;1
1707224627247;2;-65;1
1707224628264;2;-64;1
1707224629280;2;-63;1
1707224630298;2;-71;1
1707224631316;2;-67;1
1707224632331;2;-63;1
1707224633358;2;-61;1
1707224634371;2;-65;1
1707224635385;2;-64;1
1707224636404;2;-62;1
1707224637417;2;-65;1
1707224638430;2;-63;1
1707224646230;4;-65;1
1707224647256;4;-68;1
1707224648276;4;-64;1
1707224649297;4;-64;1
1707224650309;4;-72;1
1707224651327;4;-69;1
1707224652345;4;-72;1
1707224653380;4;-72;1
1707224654415;4;-67;1
1707224655423;4;-67;1
1707224656436;4;-71;1
1707224657453;4;-66;1
1707224658472;4;-69;1
1707224659487;4;-70;1
1707224660507;4;-70;1
1707224661527;4;-74;1
1707224662551;4;-68;1
1707224663568;4;-72;1
1707224664582;4;-63;1
1707224665601;4;-62;1
1707224671619;6;-73;1
1707224672639;6;-69;1
1707224673654;6;-70;1
1707224674674;6;-74;1
1707224675692;6;-79;1
1707224676706;6;-79;1
1707224677722;6;-67;1
1707224678743;6;-68;1
1707224679755;6;-79;1
1707224680766;6;-68;1
1707224681780;6;-69;1
1707224682795;6;-70;1
1707224683813;6;-70;1
1707224684836;6;-70;1
1707224685850;6;-71;1
1707224686863;6;-71;1
1707224687874;6;-71;1
1707224688890;6;-71;1
1707224689912;6;-68;1
1707224690925;6;-75;1
1707224697682;8;-75;1
1707224698713;8;-69;1
1707224699732;8;-67;1
1707224700747;8;-72;1
1707224701759;8;-73;1
1707224702778;8;-73;1
1707224703796;8;-79;1
1707224704814;8;-74;1
1707224705838;8;-79;1
1707224706855;8;-76;1
1707224707872;8;-74;1
1707224708889;8;-74;1
1707224709917;8;-74;1
1707224710930;8;-73;1
1707224711948;8;-73;1
1707224712967;8;-74;1
1707224713978;8;-73;1
1707224714996;8;-74;1
1707224716015;8;-75;1
1707224717033;8;-76;1
1707224727758;10;-77;1
1707224728793;10;-77;1
1707224729807;10;-77;1
1707224730825;10;-79;1
1707224731846;10;-83;1
1707224732867;10;-78;1
1707224733887;10;-79;1
1707224734902;10;-79;1
1707224735919;10;-79;1
1707224736935;10;-83;1
1707224737948;10;-78;1
1707224738963;10;-78;1
1707224739979;10;-83;1
1707224740995;10;-78;1
1707224742009;10;-78;1
1707224743028;10;-76;1
1707224744041;10;-75;1
1707224745060;10;-75;1
1707224746075;10;-75;1
1707224747089;10;-72;1
1707224757621;12;-82;1
1707224758652;12;-81;1
1707224759670;12;-81;1
1707224760689;12;-81;1
1707224761711;12;-81;1
1707224762746;12;-81;1
1707224763766;12;-81;1
1707224764784;12;-81;1
1707224765800;12;-81;1
1707224766819;12;-80;1
1707224767843;12;-80;1
1707224768877;12;-79;1
1707224769894;12;-79;1
1707224770914;12;-79;1
1707224771938;12;-79;1
1707224772960;12;-74;1
1707224773985;12;-80;1
1707224775009;12;-83;1
1707224776030;12;-75;1
1707224777061;12;-79;1
1707224785248;14;-81;1
1707224786267;14;-84;1
1707224787293;14;-84;1
1707224788314;14;-84;1
1707224789331;14;-84;1
1707224790353;14;-84;1
1707224791370;14;-84;1
1707224792386;14;-78;1
1707224793407;14;-78;1
1707224794426;14;-78;1
1707224795441;14;-82;1
1707224796459;14;-77;1
1707224797473;14;-77;1
1707224798490;14;-82;1
1707224799510;14;-82;1
1707224800525;14;-82;1
1707224801544;14;-82;1
1707224802561;14;-82;1
1707224803578;14;-80;1
1707224804597;14;-80;1
1707224813319;16;-80;1
1707224814350;16;-80;1
1707224815370;16;-80;1
