time;realDistance;rssi;espId
1707223965822;0;-44;1
1707223966853;0;-45;1
1707223967869;0;-45;1
1707223968901;0;-48;1
1707223969911;0;-47;1
1707223970917;0;-45;1
1707223971925;0;-47;1
1707223972939;0;-48;1
1707223973955;0;-43;1
1707223974960;0;-45;1
1707223983370;2;-73;1
1707223984397;2;-68;1
1707223985416;2;-64;1
1707223986429;2;-62;1
1707223987443;2;-59;1
1707223988469;2;-60;1
1707223989489;2;-60;1
1707223990504;2;-65;1
1707223991524;2;-66;1
1707223992548;2;-62;1
1707224000766;4;-68;1
1707224001794;4;-72;1
1707224002820;4;-71;1
1707224003842;4;-71;1
1707224004858;4;-70;1
1707224005894;4;-77;1
1707224006907;4;-74;1
1707224007936;4;-75;1
1707224008957;4;-73;1
1707224009984;4;-73;1
1707224024478;6;-69;1
1707224025498;6;-63;1
1707224026518;6;-63;1
1707224027535;6;-63;1
1707224028551;6;-69;1
1707224029569;6;-72;1
1707224030602;6;-64;1
1707224031622;6;-66;1
1707224032638;6;-71;1
1707224033655;6;-66;1
1707224041117;8;-69;1
1707224042135;8;-69;1
1707224043150;8;-81;1
1707224044168;8;-71;1
1707224045181;8;-71;1
1707224046201;8;-72;1
1707224047226;8;-71;1
1707224048244;8;-71;1
1707224049263;8;-71;1
1707224050280;8;-73;1
1707224056737;10;-73;1
1707224057755;10;-78;1
1707224058779;10;-65;1
1707224059796;10;-69;1
1707224060813;10;-89;1
1707224061839;10;-79;1
1707224062851;10;-78;1
1707224063867;10;-71;1
1707224064887;10;-73;1
1707224065903;10;-72;1
1707224076685;12;-96;1
1707224077718;12;-96;1
1707224078738;12;-78;1
1707224079756;12;-71;1
1707224080782;12;-70;1
1707224081797;12;-70;1
1707224082818;12;-70;1
1707224083838;12;-85;1
1707224084856;12;-85;1
1707224085871;12;-79;1
1707224092106;14;-80;1
1707224093129;14;-79;1
1707224094150;14;-79;1
1707224095176;14;-83;1
1707224096197;14;-85;1
1707224097216;14;-85;1
1707224098238;14;-85;1
1707224099252;14;-85;1
1707224100274;14;-85;1
1707224101291;14;-85;1
1707224108331;16;-76;1
1707224109341;16;-84;1
1707224110357;16;-85;1
1707224111373;16;-78;1
1707224112388;16;-78;1
1707224113414;16;-80;1
1707224114433;16;-85;1
1707224115469;16;-85;1
1707224116492;16;-86;1
1707224117524;16;-82;1
1707224124031;18;-84;1
1707224125073;18;-84;1
1707224126089;18;-84;1
1707224127107;18;-84;1
1707224128129;18;-84;1
1707224129147;18;-76;1
1707224130168;18;-76;1
1707224131188;18;-77;1
1707224132207;18;-77;1
1707224133224;18;-80;1
1707224141348;20;-80;1
1707224142382;20;-80;1
1707224143404;20;-84;1
1707224144423;20;-84;1
1707224145444;20;-84;1
1707224146465;20;-88;1
1707224147482;20;-85;1
1707224148508;20;-85;1
1707224149527;20;-79;1
1707224150540;20;-86;1
1707224157960;25;-90;1
1707224158975;25;-90;1
1707224159996;25;-90;1
1707224161021;25;-90;1
1707224162042;25;-90;1
1707224163061;25;-90;1
1707224164076;25;-90;1
1707224165091;25;-90;1
1707224166112;25;-90;1
1707224167133;25;-93;1
1707224176614;30;-91;1
1707224177630;30;-91;1
1707224178652;30;-91;1
1707224179674;30;-82;1
1707224180695;30;-82;1
1707224181717;30;-83;1
1707224182739;30;-89;1
1707224183763;30;-89;1
1707224184784;30;-89;1
1707224185807;30;-89;1
1707224195723;35;-89;1
1707224196734;35;-89;1
1707224197757;35;-89;1
1707224198778;35;-89;1
1707224199798;35;-89;1
1707224200819;35;-89;1
1707224201846;35;-89;1
1707224202870;35;-89;1
1707224203893;35;-89;1
1707224204915;35;-91;1
1707224221010;40;-90;1
1707224222037;40;-90;1
1707224223062;40;-90;1
1707224224084;40;-90;1
1707224225106;40;-90;1
1707224226128;40;-90;1
1707224227150;40;-90;1
1707224228171;40;-90;1
1707224229195;40;-90;1
1707224230212;40;-90;1
1707224247246;45;-90;1
1707224248256;45;-90;1
1707224249279;45;-90;1
1707224250303;45;-90;1
1707224251325;45;-90;1
1707224252347;45;-90;1
1707224253368;45;-90;1
1707224254388;45;-90;1
1707224255415;45;-90;1
1707224256437;45;-90;1
1707224264568;50;-90;1
1707224265598;50;-90;1
1707224266621;50;-90;1
1707224267643;50;-90;1
1707224268667;50;-90;1
1707224269690;50;-90;1
1707224270715;50;-90;1
1707224271737;50;-90;1
1707224272759;50;-90;1
1707224273779;50;-90;1
1707224286637;60;-90;1
1707224287680;60;-90;1
1707224288701;60;-90;1
1707224289723;60;-90;1
1707224290746;60;-90;1
1707224291770;60;-90;1
1707224292793;60;-90;1
1707224293819;60;-90;1
1707224294840;60;-90;1
1707224295861;60;-90;1
1707224308953;70;-90;1
1707224309963;70;-90;1
1707224310985;70;-90;1
1707224312005;70;-90;1
1707224313029;70;-90;1
1707224314051;70;-90;1
1707224315073;70;-90;1
1707224316096;70;-90;1
1707224317118;70;-90;1
1707224318138;70;-90;1
1707224331834;80;-90;1
1707224332845;80;-90;1
1707224333867;80;-90;1
1707224334888;80;-90;1
1707224335911;80;-90;1
1707224336932;80;-90;1
1707224337954;80;-90;1
1707224338975;80;-90;1
1707224339994;80;-90;1
1707224341018;80;-90;1
1707224354450;90;-90;1
1707224355460;90;-90;1
1707224356481;90;-90;1
1707224357504;90;-90;1
1707224358526;90;-90;1
1707224359546;90;-90;1
1707224360569;90;-90;1
1707224361586;90;-90;1
1707224362607;90;-90;1
1707224363629;90;-90;1
1707224375481;100;-90;1
1707224376491;100;-90;1
1707224377514;100;-90;1
1707224378533;100;-90;1
1707224379551;100;-90;1
1707224380573;100;-90;1
1707224381596;100;-90;1
1707224382619;100;-90;1
1707224383641;100;-90;1
1707224384660;100;-90;1
1707223965824;0;-38;2
1707223966860;0;-38;2
1707223967875;0;-39;2
1707223968905;0;-39;2
1707223969914;0;-42;2
1707223970920;0;-39;2
1707223971930;0;-42;2
1707223972945;0;-38;2
1707223973957;0;-39;2
1707223974963;0;-39;2
1707223983374;2;-62;2
1707223984401;2;-53;2
1707223985420;2;-51;2
1707223986435;2;-52;2
1707223987448;2;-52;2
1707223988476;2;-51;2
1707223989495;2;-51;2
1707223990512;2;-51;2
1707223991530;2;-51;2
1707223992551;2;-51;2
1707224000771;4;-60;2
1707224001799;4;-62;2
1707224002830;4;-68;2
