1707226035934;0;-56;1
1707226036949;0;-49;1
1707226037963;0;-52;1
1707226038976;0;-52;1
1707226039988;0;-50;1
1707226041000;0;-53;1
1707226042013;0;-58;1
1707226043028;0;-50;1
1707226044042;0;-50;1
1707226045058;0;-46;1
1707226046079;0;-46;1
1707226047087;0;-51;1
1707226048107;0;-47;1
1707226049114;0;-48;1
1707226050121;0;-53;1
1707226051133;0;-47;1
1707226052141;0;-47;1
1707226053154;0;-49;1
1707226054169;0;-49;1
1707226055183;0;-50;1
1707226062347;2;-61;1
1707226063363;2;-58;1
1707226064371;2;-60;1
1707226065393;2;-62;1
1707226066411;2;-68;1
1707226067430;2;-74;1
1707226068446;2;-59;1
1707226069473;2;-63;1
1707226070487;2;-67;1
1707226071504;2;-63;1
1707226072517;2;-68;1
1707226073536;2;-62;1
1707226074552;2;-62;1
1707226075568;2;-61;1
1707226076585;2;-60;1
1707226077614;2;-62;1
1707226078635;2;-59;1
1707226079651;2;-65;1
1707226080667;2;-65;1
1707226081683;2;-59;1
1707226089219;4;-69;1
1707226090241;4;-71;1
1707226091262;4;-68;1
1707226092282;4;-64;1
1707226093300;4;-64;1
1707226094326;4;-63;1
1707226095341;4;-63;1
1707226096364;4;-66;1
1707226097391;4;-67;1
1707226098405;4;-71;1
1707226099424;4;-68;1
1707226100447;4;-70;1
1707226101463;4;-68;1
1707226102493;4;-69;1
1707226103513;4;-69;1
1707226104527;4;-76;1
1707226105551;4;-71;1
1707226106562;4;-71;1
1707226107576;4;-66;1
1707226108610;4;-64;1
1707226116805;6;-71;1
1707226117839;6;-70;1
1707226118862;6;-72;1
1707226119896;6;-79;1
1707226120910;6;-72;1
1707226121929;6;-74;1
1707226122950;6;-75;1
1707226123974;6;-71;1
1707226124992;6;-73;1
1707226126021;6;-71;1
1707226127037;6;-75;1
1707226128063;6;-73;1
1707226129075;6;-73;1
1707226130087;6;-71;1
1707226131103;6;-71;1
1707226132120;6;-70;1
1707226133142;6;-73;1
1707226134159;6;-70;1
1707226135181;6;-72;1
1707226136197;6;-68;1
1707226143709;8;-72;1
1707226144739;8;-71;1
1707226145755;8;-69;1
1707226146768;8;-69;1
1707226147792;8;-71;1
1707226148806;8;-73;1
1707226149833;8;-66;1
1707226150850;8;-69;1
1707226151865;8;-70;1
1707226152890;8;-68;1
1707226153905;8;-71;1
1707226154931;8;-68;1
1707226155947;8;-71;1
1707226156968;8;-70;1
1707226157987;8;-68;1
1707226159003;8;-69;1
1707226160018;8;-67;1
1707226161036;8;-68;1
1707226162050;8;-70;1
1707226163069;8;-73;1
1707226171709;10;-83;1
1707226172725;10;-78;1
1707226173740;10;-77;1
1707226174759;10;-77;1
1707226175776;10;-72;1
1707226176794;10;-78;1
1707226177813;10;-77;1
1707226178830;10;-77;1
1707226179845;10;-77;1
1707226180868;10;-80;1
1707226181888;10;-74;1
1707226182906;10;-76;1
1707226183923;10;-80;1
1707226184941;10;-82;1
1707226185959;10;-74;1
1707226186976;10;-74;1
1707226188000;10;-74;1
1707226189021;10;-74;1
1707226190039;10;-76;1
1707226191058;10;-76;1
1707226200280;12;-76;1
1707226201310;12;-77;1
1707226202331;12;-81;1
1707226203361;12;-81;1
1707226204377;12;-81;1
1707226205396;12;-81;1
1707226206414;12;-78;1
1707226207432;12;-78;1
1707226208453;12;-78;1
1707226209473;12;-78;1
1707226210487;12;-78;1
1707226211501;12;-78;1
1707226212518;12;-78;1
1707226213537;12;-78;1
1707226214551;12;-80;1
1707226215568;12;-77;1
1707226216588;12;-77;1
1707226217608;12;-79;1
1707226218627;12;-80;1
1707226219647;12;-79;1
1707226230959;14;-70;1
1707226231981;14;-70;1
1707226233000;14;-74;1
1707226234016;14;-72;1
1707226235034;14;-75;1
1707226236053;14;-73;1
1707226237067;14;-73;1
1707226238086;14;-81;1
1707226239103;14;-78;1
1707226240124;14;-78;1
1707226241141;14;-78;1
1707226242160;14;-78;1
1707226243182;14;-73;1
1707226244200;14;-78;1
1707226245215;14;-77;1
1707226246230;14;-77;1
1707226247243;14;-73;1
1707226248260;14;-77;1
1707226249278;14;-75;1
1707226250295;14;-71;1
1707226257024;16;-84;1
1707226258045;16;-84;1
1707226259064;16;-84;1
1707226260101;16;-84;1
1707226261120;16;-77;1
1707226262139;16;-77;1
1707226263155;16;-77;1
1707226264171;16;-75;1
1707226265197;16;-75;1
1707226266216;16;-74;1
1707226267246;16;-74;1
1707226268261;16;-74;1
1707226269281;16;-84;1
1707226270300;16;-84;1
1707226271322;16;-84;1
1707226272341;16;-84;1
1707226273358;16;-81;1
1707226274370;16;-81;1
1707226275380;16;-81;1
1707226276395;16;-78;1
1707226290729;18;-85;1
1707226291761;18;-85;1
1707226292780;18;-85;1
